datetime,open,high,low,close,rsi,ema1,ema2,atr
2026-02-02 01:30:00,4697.14374,4731.44687,4682.61563,4710.26069,38.48889,4893.29376,4826.55108,41.18476
2026-02-02 01:45:00,4710.33977,4741.88737,4709.30648,4737.78673,42.4398,4891.74642,4823.07012,40.5702
2026-02-02 02:00:00,4737.22795,4741.0135,4703.68088,4734.64742,42.10761,4890.18325,4819.60257,40.33894
2026-02-02 02:15:00,4735.00043,4748.283,4721.5287,4741.79324,43.19749,4888.70673,4816.55122,39.36861
2026-02-02 02:30:00,4741.70884,4773.3476,4741.70884,4769.19728,47.29529,4887.51758,4814.6942,38.81648
2026-02-02 02:45:00,4768.44502,4769.20821,4705.06386,4706.38966,40.14676,4885.71532,4810.44697,40.62561
2026-02-02 03:00:00,4704.72923,4722.34997,4700.98744,4700.98744,39.59245,4883.87723,4806.15444,39.24968
2026-02-02 03:15:00,4703.33354,4731.13596,4669.85733,4698.45523,39.31841,4882.03223,4801.93094,40.82318
2026-02-02 03:30:00,4698.32731,4698.61528,4638.70251,4667.22382,36.00804,4879.89483,4796.64831,42.18672
2026-02-02 03:45:00,4667.2215,4699.43255,4642.46913,4646.92504,34.00414,4877.57673,4790.7768,43.2422
2026-02-02 04:00:00,4647.29916,4671.89933,4598.20716,4657.91311,36.07792,4875.39102,4785.56646,45.41719
2026-02-02 04:15:00,4659.51225,4700.94241,4657.53046,4675.94783,39.44145,4873.40651,4781.26769,45.27396
2026-02-02 04:30:00,4676.17214,4696.63918,4665.81624,4686.94613,41.46431,4871.55118,4777.56881,44.24175
2026-02-02 04:45:00,4686.97427,4708.33078,4676.96603,4680.59911,40.62103,4869.65116,4773.76608,43.32196
2026-02-02 05:00:00,4679.79911,4694.39975,4655.68277,4656.89096,37.54913,4867.53415,4769.18274,42.99303
2026-02-02 05:15:00,4657.38402,4672.20592,4641.10381,4661.01348,38.42117,4865.47921,4764.94081,42.14368
2026-02-02 05:30:00,4661.93309,4661.93309,4573.6109,4588.56322,30.3898,4862.72383,4758.02404,45.44215
2026-02-02 05:45:00,4587.93274,4588.58543,4504.80601,4553.61534,27.41306,4859.64812,4750.00801,48.18052
2026-02-02 06:00:00,4553.91723,4564.23887,4524.9988,4537.28109,26.12501,4856.44049,4741.66578,47.54192
2026-02-02 06:15:00,4537.2666,4540.45692,4437.95425,4484.69924,22.46557,4852.74157,4731.58866,51.46769
2026-02-02 06:30:00,4484.91356,4493.2754,4410.8453,4442.89836,20.05997,4848.66353,4720.26747,53.67929
2026-02-02 06:45:00,4441.56681,4513.83414,4431.4072,4500.74852,31.06189,4845.20169,4711.65888,55.73269
2026-02-02 07:00:00,4501.07596,4551.9377,4500.74957,4537.24496,36.95675,4842.13745,4704.81912,55.40816
2026-02-02 07:15:00,4537.09693,4569.97845,4533.26055,4557.31651,39.99562,4839.30341,4699.03471,54.07314
2026-02-02 07:30:00,4557.76976,4586.5409,4530.37555,4575.16334,42.64305,4836.67515,4694.17701,54.22258
2026-02-02 07:45:00,4577.03252,4612.10009,4575.15082,4593.38239,45.29647,4834.25432,4690.22428,52.98877
2026-02-02 08:00:00,4593.77757,4624.38855,4564.46448,4607.56176,47.33835,4831.99868,4686.98261,53.48415
2026-02-02 08:15:00,4607.30356,4649.72722,4606.51676,4639.36273,51.69337,4830.0819,4685.11516,52.75032
2026-02-02 08:30:00,4641.02194,4657.23508,4612.00927,4646.64273,52.65856,4828.25663,4683.60644,52.21285
2026-02-02 08:45:00,4648.29944,4655.33913,4627.93459,4639.76657,51.60966,4826.38111,4681.88723,50.44083
2026-02-02 09:00:00,4639.67584,4652.2127,4613.59231,4645.17502,52.41257,4824.57807,4680.44753,49.59651
2026-02-02 09:15:00,4644.93583,4690.99876,4627.05934,4689.97725,58.5483,4823.23875,4680.82125,50.62101
2026-02-02 09:30:00,4689.91744,4707.40589,4684.77524,4691.8487,58.78734,4821.93139,4681.2537,48.62169
2026-02-02 09:45:00,4691.79118,4722.9906,4691.44993,4715.66,61.80533,4820.87396,4682.60296,47.40162
2026-02-02 10:00:00,4715.3269,4728.91651,4704.69297,4724.55636,62.89851,4819.91558,4684.2482,45.74604
2026-02-02 10:15:00,4724.47791,4727.01007,4672.99653,4679.43652,54.39517,4818.51778,4684.0595,46.33658
2026-02-02 10:30:00,4679.1494,4694.27571,4667.7074,4676.29177,53.84874,4817.10259,4683.75489,44.92456
2026-02-02 10:45:00,4676.35736,4707.61389,4661.10174,4707.61389,58.33784,4816.01315,4684.69053,45.03796
2026-02-02 11:00:00,4707.12688,4743.84774,4702.42962,4743.84774,62.84073,4815.29509,4687.01042,44.7794
2026-02-02 11:15:00,4744.16926,4758.69993,4743.85716,4753.9076,64.00396,4814.68427,4689.63384,42.64174
2026-02-02 11:30:00,4754.06973,4777.25588,4751.81266,4774.06386,66.28152,4814.28009,4692.94482,41.41328
2026-02-02 11:45:00,4773.93453,4778.18342,4753.59823,4763.52697,64.00174,4813.77508,4695.71275,40.21127
2026-02-02 12:00:00,4764.8595,4778.80631,4747.49481,4763.0192,63.8877,4813.27005,4698.35222,39.57557
2026-02-02 12:15:00,4762.97927,4785.51018,4762.38228,4777.56669,65.76955,4812.91479,4701.45867,38.40074
2026-02-02 12:30:00,4777.64859,4795.84301,4773.3075,4794.25857,67.84037,4812.72916,4705.09788,37.26751
2026-02-02 12:45:00,4792.90819,4812.44631,4778.59062,4791.56377,67.13424,4812.51855,4708.4887,37.02381
2026-02-02 13:00:00,4790.02542,4805.59722,4729.66711,4781.14826,64.34648,4812.20641,4711.33809,39.80283
2026-02-02 13:15:00,4780.22114,4787.61356,4736.20509,4740.48571,54.78226,4811.49277,4712.48114,40.6318
2026-02-02 13:30:00,4739.86662,4740.45065,4671.56682,4677.80322,43.93997,4810.16253,4711.12122,42.65231
2026-02-02 13:45:00,4675.44259,4717.58555,4675.44259,4707.00009,49.0029,4809.13604,4710.95961,42.61593
2026-02-02 14:00:00,4708.20395,4738.49645,4705.30459,4728.42658,52.40033,4808.33296,4711.64459,41.94278
2026-02-02 14:15:00,4729.11982,4729.71227,4683.2706,4724.17975,51.66564,4807.49561,4712.13616,42.26413
2026-02-02 14:30:00,4723.58369,4785.13593,4718.80129,4764.11011,57.67456,4807.06392,4714.17436,43.98345
2026-02-02 14:45:00,4765.30224,4765.30224,4705.28678,4715.7469,49.62714,4806.15529,4714.23602,45.12859
2026-02-02 15:00:00,4715.59523,4734.80196,4702.6222,4708.25405,48.49809,4805.18115,4714.00144,44.20368
2026-02-02 15:15:00,4708.26448,4718.04366,4683.29486,4683.29486,44.83865,4803.96835,4712.79726,43.52833
2026-02-02 15:30:00,4682.01144,4692.8069,4655.3921,4676.32104,43.84321,4802.69823,4711.36682,43.09165
2026-02-02 15:45:00,4677.10294,4677.10294,4625.53877,4625.53877,37.34207,4800.93545,4708.00101,43.69683
2026-02-02 16:00:00,4626.56995,4696.28331,4605.20706,4692.57549,48.25084,4799.85724,4707.39609,47.08107
2026-02-02 16:15:00,4692.56993,4699.97043,4670.8845,4670.8845,45.49104,4798.57393,4705.96426,45.79571
2026-02-02 16:30:00,4670.58136,4691.63762,4655.19617,4678.84296,46.69571,4797.38257,4704.90068,45.12754
2026-02-02 16:45:00,4681.80608,4681.80608,4647.82061,4663.81461,44.68731,4796.05354,4703.28946,44.33168
2026-02-02 17:00:00,4663.8263,4712.75212,4663.8263,4703.66417,50.73773,4795.13424,4703.30416,44.66067
2026-02-02 17:15:00,4704.45109,4711.97823,4654.43122,4662.91415,45.28287,4793.81862,4701.72024,45.58112
2026-02-02 17:30:00,4663.0015,4681.1133,4658.33448,4669.57436,46.29907,4792.58236,4700.45961,43.95239
2026-02-02 17:45:00,4669.12545,4691.1258,4665.68321,4677.38666,47.53002,4791.43613,4699.55479,42.63026
2026-02-02 18:00:00,4675.76101,4677.3698,4629.75036,4639.15874,42.40744,4789.92093,4697.18632,42.98783
2026-02-02 18:15:00,4639.49029,4648.7176,4624.70528,4631.58731,41.45448,4788.34547,4694.61381,41.63244
2026-02-02 18:30:00,4630.44475,4673.93771,4630.44475,4663.0475,46.8036,4787.09873,4693.37591,41.76533
2026-02-02 18:45:00,4661.49141,4668.72645,4648.42294,4658.45884,46.1414,4785.81873,4692.00662,40.23235
2026-02-02 19:00:00,4657.78178,4660.05865,4641.92654,4649.93621,44.87155,4784.46667,4690.3568,38.65376
2026-02-02 19:15:00,4649.94318,4651.29997,4633.3622,4643.08722,43.82768,4783.0599,4688.50309,37.17404
2026-02-02 19:30:00,4643.31111,4700.31022,4640.89304,4696.69396,53.0367,4782.20054,4688.8243,38.76284
2026-02-02 19:45:00,4696.21359,4709.99379,4680.02497,4687.13788,51.41842,4781.25464,4688.75816,38.1347
2026-02-02 20:00:00,4685.64115,4696.55556,4675.02214,4694.31991,52.58929,4780.38962,4688.97627,36.94889
2026-02-02 20:15:00,4694.55448,4694.55448,4655.98371,4665.88529,47.68882,4779.25028,4688.07074,37.06474
2026-02-02 20:30:00,4665.66517,4693.52159,4658.10757,4687.80439,51.4449,4778.34037,4688.0603,36.94683
2026-02-02 20:45:00,4689.30195,4689.30195,4652.08412,4653.11062,45.83505,4777.0943,4686.68972,36.96619
2026-02-02 21:00:00,4652.5504,4677.30694,4647.23171,4675.54034,49.65716,4776.08381,4686.25249,36.47398
2026-02-02 21:15:00,4675.95972,4683.5785,4662.79681,4681.69304,50.68516,4775.1446,4686.07369,35.3531
2026-02-02 21:30:00,4681.65603,4681.75121,4668.34653,4670.74815,48.77707,4774.10583,4685.47269,33.78535
2026-02-02 21:45:00,4670.26048,4675.92201,4654.22039,4660.06864,46.92094,4772.97113,4684.47645,32.92223
2026-02-02 22:00:00,4660.11331,4661.09947,4660.00737,4660.80835,47.07118,4771.85508,4683.54829,30.64865
2026-02-02 22:15:00,4660.81422,4661.08798,4660.80636,4660.97849,47.10826,4770.75183,4682.6632,28.47958
2026-02-02 22:30:00,4660.88822,4661.08324,4660.77548,4660.97686,47.10792,4769.65955,4681.81276,26.4673
2026-02-02 22:45:00,4660.8943,4661.08573,4660.42011,4660.53161,47.00796,4768.5737,4680.9782,24.62433
2026-02-02 23:00:00,4660.64165,4720.50744,4660.56424,4717.33626,58.96966,4768.06387,4682.40401,27.14943
2026-02-02 23:15:00,4717.10147,4758.84002,4717.10147,4740.81771,62.71618,4767.79276,4684.69474,28.19151
2026-02-02 23:30:00,4741.36881,4744.81172,4716.38208,4732.80027,60.67888,4767.44458,4686.58123,28.20852
2026-02-02 23:45:00,4732.76491,4774.42609,4732.76491,4772.4534,66.4788,4767.49442,4689.94877,29.16943
2026-02-03 00:00:00,4772.338,4796.94636,4766.13466,4782.79862,67.81272,4767.6467,4693.58994,29.28673
2026-02-03 00:15:00,4780.86555,4828.88703,4780.86555,4820.11797,72.12238,4768.1688,4698.55182,30.62493
2026-02-03 00:30:00,4820.33838,4836.62705,4811.33271,4821.64553,72.28595,4768.70091,4703.37903,30.24417
2026-02-03 00:45:00,4821.44465,4830.00602,4779.6815,4779.6815,61.59406,4768.81017,4706.37128,31.67848
2026-02-03 01:00:00,4779.16621,4830.46512,4776.38358,4826.6898,67.4094,4769.38609,4711.08965,33.2787
2026-02-03 01:15:00,4828.14347,4854.02918,4826.6901,4854.02918,70.23245,4770.22831,4716.69513,32.85446
2026-02-03 01:30:00,4853.75399,4854.01484,4833.51665,4845.62855,68.27542,4770.97856,4721.75134,31.9729
2026-02-03 01:45:00,4846.18116,4850.12794,4818.61387,4841.15412,67.20131,4771.67682,4726.4338,31.94012
2026-02-03 02:00:00,4841.03036,4841.16482,4795.23969,4795.23969,57.24852,4771.91128,4729.13207,32.93905
2026-02-03 02:15:00,4795.92313,4802.25303,4769.32991,4775.67176,53.60475,4771.94869,4730.95716,32.93791
2026-02-03 02:30:00,4774.83686,4782.63876,4761.01448,4765.31868,51.72877,4771.88272,4732.30467,32.1298
2026-02-03 02:45:00,4766.97537,4781.70779,4746.45067,4777.65014,53.80259,4771.94011,4734.08292,32.35318
2026-02-03 03:00:00,4776.3703,4791.5779,4767.55829,4767.55829,51.83974,4771.89651,4735.39568,31.75792
2026-02-03 03:15:00,4767.18584,4777.20487,4752.84352,4770.77922,52.43617,4771.88539,4736.78327,31.2296
2026-02-03 03:30:00,4770.05187,4809.1239,4770.05187,4808.8453,58.91237,4772.25315,4739.60923,31.78977
2026-02-03 03:45:00,4807.80814,4813.4036,4791.90022,4809.93917,59.08477,4772.62814,4742.36727,31.05503
2026-02-03 04:00:00,4809.84593,4827.51204,4809.84593,4816.50651,60.16545,4773.06474,4745.27469,30.09868
2026-02-03 04:15:00,4816.41078,4818.91969,4804.19234,4805.62911,57.45846,4773.38876,4747.64153,29.00072
2026-02-03 04:30:00,4806.45659,4823.36762,4805.478,4817.77334,59.6417,4773.8304,4750.3918,28.20707
2026-02-03 04:45:00,4818.11663,4824.10012,4809.46683,4809.46683,57.46921,4774.18499,4752.70847,27.23752
2026-02-03 05:00:00,4809.60876,4825.25449,4809.48306,4812.90512,58.14877,4774.57027,4755.06912,26.41967
2026-02-03 05:15:00,4812.93242,4847.25516,4812.5225,4838.44901,62.89242,4775.20588,4758.33892,27.01346
2026-02-03 05:30:00,4837.59173,4838.44811,4819.241,4821.75914,58.24696,4775.66909,4760.82599,26.45592
2026-02-03 05:45:00,4821.57158,4832.03842,4815.86663,4823.04835,58.50195,4776.14053,4763.26608,25.72134
2026-02-03 06:00:00,4823.61649,4850.17497,4811.51813,4846.19013,62.8837,4776.83754,4766.518,26.64531
2026-02-03 06:15:00,4845.76622,4873.02276,4844.07364,4873.02276,67.20732,4777.79461,4770.69466,26.80987
2026-02-03 06:30:00,4873.31189,4892.79822,4868.60152,4890.1401,69.63719,4778.91247,4775.37879,26.62321
2026-02-03 06:45:00,4890.28355,4893.00332,4859.56185,4882.6832,67.29774,4779.94502,4779.58681,27.11023
2026-02-03 07:00:00,4881.52095,4888.88557,4875.5333,4888.66391,68.2199,4781.0268,4783.86434,26.12752
2026-02-03 07:15:00,4888.64465,4905.58255,4880.02729,4899.01444,69.80674,4782.2008,4788.38003,26.08664
2026-02-03 07:30:00,4899.07102,4931.66835,4899.02443,4923.69522,73.23817,4783.60871,4793.68651,26.55573
2026-02-03 07:45:00,4922.57023,4926.39387,4914.58952,4918.39003,71.36079,4784.94982,4798.57685,25.50206
2026-02-03 08:00:00,4918.26387,4929.1387,4900.59388,4928.49004,72.79079,4786.37808,4803.67148,25.7194
2026-02-03 08:15:00,4928.37548,4942.3242,4928.37548,4936.3513,73.88384,4787.87035,4808.87461,24.87864
2026-02-03 08:30:00,4936.29456,4943.55226,4930.85712,4937.55789,74.05611,4789.35978,4813.92101,24.00839
2026-02-03 08:45:00,4937.45278,4937.55373,4914.09987,4916.43413,65.86485,4790.6242,4817.94114,23.96908
2026-02-03 09:00:00,4916.39478,4922.98095,4910.37213,4916.36238,65.83821,4791.87532,4821.80079,23.15763
2026-02-03 09:15:00,4915.85794,4916.32603,4891.81659,4893.72736,57.88473,4792.88878,4824.62144,23.25678
2026-02-03 09:30:00,4894.32968,4921.84479,4885.79942,4920.66845,63.53168,4794.16022,4828.38799,24.17026
2026-02-03 09:45:00,4921.02288,4925.11397,4915.33673,4915.876,61.94066,4795.37132,4831.81889,23.14218
2026-02-03 10:00:00,4915.87192,4928.66945,4914.55747,4925.26762,63.85116,4796.66382,4835.48355,22.49717
2026-02-03 10:15:00,4924.89806,4925.27335,4911.86625,4916.9023,60.91785,4797.86022,4838.67644,21.84788
2026-02-03 10:30:00,4916.95224,4922.5068,4916.23298,4918.15433,61.20511,4799.05718,4841.79322,20.73544
2026-02-03 10:45:00,4917.95094,4922.47255,4906.17683,4906.17683,56.89662,4800.12305,4844.31807,20.41832
2026-02-03 11:00:00,4907.10398,4910.94777,4891.71609,4908.00707,57.39022,4801.19652,4846.81568,20.33356
2026-02-03 11:15:00,4908.07005,4908.42865,4879.83837,4903.40668,55.66472,4802.21353,4849.03493,20.92333
2026-02-03 11:30:00,4903.20768,4916.84154,4899.62505,4911.04663,57.92707,4803.29645,4851.46676,20.65855
2026-02-03 11:45:00,4911.02531,4914.37255,4901.17649,4914.32335,58.89586,4804.4012,4853.93173,20.12552
2026-02-03 12:00:00,4913.69903,4936.94296,4913.69903,4926.51375,62.36763,4805.61625,4856.77808,20.34826
2026-02-03 12:15:00,4926.71723,4926.71723,4897.05202,4900.54275,52.24359,4806.56079,4858.49434,21.01376
2026-02-03 12:30:00,4899.9023,4917.25658,4899.9023,4913.94462,56.19523,4807.62928,4860.66886,20.75237
2026-02-03 12:45:00,4913.71113,4916.61939,4908.54336,4914.96234,56.48966,4808.69728,4862.79802,19.84691
2026-02-03 13:00:00,4914.9068,4932.60289,4908.32657,4925.37881,59.49086,4809.85829,4865.25217,20.1633
2026-02-03 13:15:00,4925.31741,4939.20859,4919.36959,4935.9874,62.33994,4811.1133,4868.0261,20.14014
2026-02-03 13:30:00,4936.24903,4941.79019,4930.39706,4940.98947,63.63852,4812.4056,4870.88741,19.51535
2026-02-03 13:45:00,4941.29875,4948.74094,4925.57702,4933.07394,60.10648,4813.60628,4873.3261,19.77596
2026-02-03 14:00:00,4934.01776,4934.01776,4917.50185,4925.6732,56.92529,4814.72138,4875.37892,19.5431
2026-02-03 14:15:00,4924.67182,4925.64067,4897.02862,4921.20586,55.03189,4815.78092,4877.17606,20.19321
2026-02-03 14:30:00,4921.82495,4929.40887,4895.01338,4918.09501,53.69263,4816.79897,4878.78072,21.20766
2026-02-03 14:45:00,4918.04939,4926.9308,4914.72151,4917.68789,53.5091,4817.80284,4880.30649,20.56492
2026-02-03 15:00:00,4917.4163,4947.50094,4915.77437,4940.22596,61.37939,4819.02098,4882.65628,21.36218
2026-02-03 15:15:00,4940.69653,4940.69653,4909.9501,4924.76888,54.55795,4820.0732,4884.30775,22.03248
2026-02-03 15:30:00,4925.13916,4925.13916,4914.9308,4920.83827,52.94653,4821.07584,4885.74032,21.1879
2026-02-03 15:45:00,4920.79955,4935.00874,4920.79955,4932.85977,57.11817,4822.18812,4887.58814,20.68942
2026-02-03 16:00:00,4932.79574,4947.35835,4932.79574,4944.42838,60.72662,4823.40444,4889.81717,20.25179
2026-02-03 16:15:00,4944.52317,4980.97586,4942.14745,4974.01951,68.11707,4824.9031,4893.11922,21.57869
2026-02-03 16:30:00,4973.42824,4993.13125,4967.25939,4983.43472,70.04835,4826.48052,4896.66101,21.88535
2026-02-03 16:45:00,4983.30429,4983.45776,4955.66134,4957.14645,59.25556,4827.78068,4899.03299,22.30757
2026-02-03 17:00:00,4956.82321,4958.53535,4930.82814,4941.21906,53.84266,4828.90942,4900.68734,22.69326
2026-02-03 17:15:00,4941.10845,4968.42597,4941.10845,4947.53485,55.57563,4830.08978,4902.5245,23.02356
